Author,Title,URL,Previous Price,Current Price,Last Checked
Arwin J. Seaman,La condanna del silenzio,https://www.amazon.it/condanna-del-silenzio-Arwin-Seaman-ebook/dp/B0DYF197HF,N/A,"5,49 €",2025-07-02 13:23:43.421175
Arwin J. Seaman,Omicidio fuori stagione: La prima indagine sull'isola di Liten,https://www.amazon.it/Omicidio-fuori-stagione-indagine-sullisola-ebook/dp/B0BTN4JMJJ,N/A,"0,00 €",2025-07-02 13:23:48.237567
Arwin J. Seaman,Un giorno di calma apparente: Benvenuti sull'isola di Liten,https://www.amazon.it/giorno-calma-apparente-Benvenuti-sullisola-ebook/dp/B0CW4TH2NF,N/A,"0,00 €",2025-07-02 13:23:53.139927
