Author,Title,URL
Arwin J. Seaman,Omicidio fuori stagione: La prima indagine sull'isola di Liten,https://www.amazon.it/Omicidio-fuori-stagione-indagine-sullisola-ebook/dp/B0BTN4JMJJ
Arwin J. Seaman,Un giorno di calma apparente: Benvenuti sull'isola di Liten,https://www.amazon.it/giorno-calma-apparente-Benvenuti-sullisola-ebook/dp/B0CW4TH2NF
Arwin J. Seaman,La condanna del silenzio,https://www.amazon.it/condanna-del-silenzio-Arwin-Seaman-ebook/dp/B0DYF197HF

