Author,Title,URL,Previous Price,Current Price,Last Checked
Agatha Christie,Sfida a Poirot (Hercule Poirot Vol. 39),https://www.amazon.it/Sfida-Poirot-Oscar-scrittori-moderni-ebook/dp/B005SZ7YF6,,"7,99 €",2025-07-02 07:02:39.571476
Agatha Christie,Sono un'assassina? (Hercule Poirot Vol. 40),https://www.amazon.it/Sono-unassassina-Agatha-Christie-ebook/dp/B07SCKF6HT,"7,99 €","7,99 €",2025-07-02 07:02:44.507408
Agatha Christie,Gli elefanti hanno buona memoria (Hercule Poirot Vol. 42),https://www.amazon.it/Gli-elefanti-hanno-buona-memoria-ebook/dp/B00GBKBSSQ,,"7,99 €",2025-07-02 07:02:49.612503
Agatha Christie,I primi casi di Poirot (Hercule Poirot Vol. 43),https://www.amazon.it/primi-Poirot-Oscar-scrittori-moderni-ebook/dp/B00CC3XYUQ,"7,99 €","7,99 €",2025-07-02 07:02:54.589860
Agatha Christie,"Sipario, l'ultima avventura di Poirot (Hercule Poirot Vol. 44)",https://www.amazon.it/Sipario-lultima-avventura-Poirot-Christie-ebook/dp/B00ZSYNUN2,,"7,99 €",2025-07-02 07:02:59.590825
Agatha Christie,La morte nel villaggio (Miss Marple Vol. 1),https://www.amazon.it/morte-villaggio-Oscar-scrittori-moderni-ebook/dp/B005SZ492C,"7,99 €","7,99 €",2025-07-02 07:03:04.683581
Agatha Christie,C'è un cadavere in biblioteca (Miss Marple Vol. 2),https://www.amazon.it/cadavere-biblioteca-Oscar-scrittori-moderni-ebook/dp/B005SZ7SR0,,"7,99 €",2025-07-02 07:03:09.659694
Agatha Christie,Il terrore viene per posta (Miss Marple Vol. 3),https://www.amazon.it/terrore-viene-posta-scrittori-moderni-ebook/dp/B005UKSAXE,,"7,99 €",2025-07-02 07:03:14.672967
Agatha Christie,Un delitto avrà luogo (Miss Marple Vol. 4),https://www.amazon.it/delitto-avr%C3%A0-luogo-Agatha-Christie-ebook/dp/B00GOIG4X4,"7,99 €","7,99 €",2025-07-02 07:03:19.685284
Agatha Christie,Polvere negli occhi (Miss Marple Vol. 6),https://www.amazon.it/Polvere-negli-occhi-Agatha-Christie-ebook/dp/B00GBKBSTU,"7,99 €","7,99 €",2025-07-02 07:03:24.540932
Agatha Christie,Istantanea di un delitto (Miss Marple Vol. 7),https://www.amazon.it/Istantanea-delitto-Oscar-scrittori-moderni-ebook/dp/B005SZ7XY8,"7,99 €","7,99 €",2025-07-02 07:03:29.275267
Agatha Christie,Assassinio allo specchio: Silenzio: si uccide (Miss Marple Vol. 8),https://www.amazon.it/Assassinio-allo-specchio-Silenzio-uccide-ebook/dp/B00ZSYNXMK,"7,99 €","7,99 €",2025-07-02 07:03:34.167683
Agatha Christie,Nemesi (Miss Marple Vol. 11),https://www.amazon.it/Nemesi-Agatha-Christie-ebook/dp/B00FQEB61C,"7,99 €","7,99 €",2025-07-02 07:03:39.167347
